Senator,State,Contribution,Party_Code,Vote
"Murkowski, Frank",AK,19700,200,Yea
"Stevens, Ted",AK,13000,200,Yea
"Sessions, Jeff",AL,9500,200,Yea
"Shelby, Richard",AL,25000,200,Yea
"Hutchinson, Tim",AR,4900,200,Yea
"Lincoln, Blanche",AR,5500,100,Yea
"McCain, John",AZ,29350,200,Nay
"Kyl, Jon",AZ,14500,200,Yea
"Boxer, Barbara",CA,1500,100,Nay
"Feinstein, Dianne",CA,9750,100,Nay
"Allard, Wayne",CO,7500,200,Yea
"Campbell, Ben N.",CO,4000,200,Yea
"Dodd, Christopher",CT,500,100,Nay
"Lieberman, Joseph",CT,3000,100,Nay
"Carper, Thomas",DE,17640,100,Yea
"Biden Jr, Joseph",DE,5125,100,Nay
"Graham, Bob",FL,7000,100,Nay
"Nelson, Bill",FL,300,100,Nay
"Cleland, Max",GA,4500,100,Yea
"Miller, Zell",GA,1000,100,Yea
"Akaka, Daniel",HI,2350,100,Nay
"Inouye, Daniel",HI,7000,100,Nay
"Harkin, Tom",IA,4000,100,Nay
"Grassley, Chuck",IA,22500,200,Yea
"Craig, Larry",ID,26800,200,Yea
"Crapo, Mike",ID,10000,200,Yea
"Durbin, Richard",IL,15600,100,Nay
"Fitzgerald, Peter",IL,13450,200,Yea
"Bayh, Evan",IN,21000,100,Yea
"Lugar, Richard",IN,23500,200,Yea
"Brownback, Sam",KS,13500,200,Yea
"Roberts, Pat",KS,9750,200,Yea
"Bunning, Jim",KY,28850,200,Yea
"McConnell, Mitch",KY,25000,200,Yea
"Breaux, John",LA,18150,100,Yea
"Landrieu, Mary",LA,5000,100,Yea
"Kennedy, Edward",MA,3150,100,Nay
"Kerry, John",MA,750,100,Nay
"Sarbanes, Paul",MD,1500,100,Nay
"Mikulski, Barbara",MD,18600,100,Yea
"Collins, Susan",ME,4000,200,Nay
"Snowe, Olympia",ME,6100,200,Nay
"Levin, Carl",MI,133250,100,Yea
"Stabenow, Debbie",MI,51668,100,Yea
"Dayton, Mark",MN,0,100,Nay
"Wellstone, Paul",MN,800,100,Nay
"Bond, Christopher",MO,48939,200,Yea
"Carnahan, Jean",MO,4250,100,Yea
"Cochran, Thad",MS,9000,200,Yea
"Lott, Trent",MS,24000,200,Yea
"Baucus, Max",MT,18500,100,Yea
"Burns, Conrad",MT,25000,200,Yea
"Edwards, John",NC,0,100,Nay
"Helms, Jesse",NC,10500,200,Yea
"Conrad, Kent",ND,21125,100,Yea
"Dorgan, Byron",ND,15000,100,Yea
"Hagel, Charles",NE,10400,200,Yea
"Nelson, Ben",NE,5000,100,Yea
"Gregg, Judd",NH,5000,200,Nay
"Smith, Bob",NH,15500,200,Yea
"Corzine, Jon",NJ,0,100,Nay
"Torricelli, Robert",NJ,6150,100,Nay
"Bingaman, Jeff",NM,1000,100,Nay
"Domenici, Pete",NM,15000,200,Yea
"Reid, Harry",NV,1000,100,Nay
"Ensign, John",NV,27500,200,Yea
"Clinton, Hillary",NY,6530,100,Nay
"Schumer, Charles",NY,2000,100,Nay
"DeWine, Mike",OH,48350,200,Yea
"Voinovich, George",OH,41224,200,Yea
"Inhofe, James",OK,28600,200,Yea
"Nickles, Don",OK,35500,200,Yea
"Smith, Gordon",OR,18500,200,Nay
"Wyden, Ron",OR,2000,100,Nay
"Santorum, Rick",PA,18000,200,Yea
"Specter, Arlen",PA,25500,200,Yea
"Chafee, Lincoln",RI,250,200,Nay
"Reed, Jack",RI,3000,100,Nay
"Hollings, Ernest",SC,10500,100,Nay
"Thurmond, Strom",SC,7350,200,Yea
"Daschle, Thomas",SD,20000,100,Nay
"Johnson, Tim",SD,4500,100,Yea
"Frist, William",TN,22250,200,Yea
"Thompson, Fred",TN,13250,200,Yea
"Gramm, Phil",TX,18550,200,Yea
"Hutchison, Kay B.",TX,12000,200,Yea
"Bennett, Robert",UT,6000,200,Yea
"Hatch, Orrin",UT,22400,200,Yea
"Allen, George",VA,14500,200,Yea
"Warner, John",VA,26800,200,Yea
"Jeffords, James",VT,8000,328,Nay
"Leahy, Patrick",VT,750,100,Nay
"Cantwell, Maria",WA,0,100,Nay
"Murray, Patty",WA,0,100,Nay
"Feingold, Russell",WI,1326,100,Yea
"Kohl, Herb",WI,0,100,Yea
"Rockefeller, John",WV,26000,100,Nay
"Byrd, Robert",WV,14000,100,Yea
"Enzi, Mike",WY,2000,200,Yea
"Thomas, Craig",WY,8600,200,Yea
